title,author
Above The Dark Circus,Hugh Walpole
The Autobiography,Johann Wolfgang von Goethe
The Big Clock,Kenneth Fearing
Brain Wave,Poul Anderson
The Case Of The Abominable Snowman,Nicholas Blake
"Childhood, Youth And Exile",Alexander Herzen
The Cruise Of The Snark,Jack London
Daily Life In Ancient Rome,Jérôme Carcopino
Death In The Wrong Room,Anthony Gilbert
Donovan's Brain,Curt Siodmak
The Engagement,Georges Simenon
Father And Son,Edmund Gosse
Golden Earth,Norman Lewis
Islandia,Austin Tappan Wright
Journal Of Katherine Mansfield,Katherine Mansfield
A Journey To The Western Islands Of Scotland,Samuel Johnson
The King Of The Golden River,John Ruskin
The Man In The Net,Patrick Quentin
Medieval Cities,Henri Pirenne
An Oxford Tragedy,J. C. Masterman
The Palm Wine Drinkard,Amos Tutuola
A Pin To See The Peepshow,F. Tennyson Jesse
The Red Box,Rex Stout
A Rose For Winter,Laurie Lee
La Salle And The Discovery Of The Great West,Francis Parkman
Suicide Excepted,Cyril Hare
Tales Of The Grotesque And Arabesque,Edgar Allan Poe
A Tramp Abroad,Mark Twain
The Traveller's Tree,Patrick Leigh Fermor
Tschiffely's Ride,A. F. Tschiffely
My Life as an Explorer,Sven Hedin
K2 The Savage Mountain,Charles Houston
Alone,Richard Byrd
A Mirror for Witches,Esther Forbes
Summer Lightning (Csa Word Classic),P. G. Wodehouse
The Machine Stops,E. M. Forster
That's How It Was,Maureen Duffy
The Iron Giant,Ted Hughes
The Diary Of Anne Frank,Albert Hackett
The Forest,Alexander Ostrovsky
Le Dindon,Georges Feydeau
The Fall Of The King,Johannes V. Jensen
Salka Valka,Halldor Laxness
Alton Locke,Charles Kingsley
A Walk Out Of The World,Ruth Nichols
Children's Stories And Pictures,Vladimir Suteev
The Red Pony,John Steinbeck
Anne Of Avonlea,L. M. Montgomery
Akenfield,Ronald Blythe
Torregreca,Ann Cornelisen
Notes On A Cowardly Lion,John Lahr
The Nez Perce Indians And The Opening Of The Northwest,Jr.
The Retreat To Commitment,William Warren Bartley
Winds Of Doctrine,George Santayana
公墓,Mu Shiying
The Sail And The Storm,Hanna Mina
Latin Quarter,Suhail Idriss
Return Of The Soul,Tawfiq al-Hakim
Oil!,Upton Sinclair
The Setting Sun,Osamu Dazai
God Emperor Of Dune,Frank Herbert
The Sky Is Red,Giuseppe Berto
An Autumn Story,Tommaso Landolfi
L'onda Dell'incrociatore,Pier Antonio Quarantotti Gambini
The Other America,Michael Harrington
The Little Mermaid,Hans Christian Andersen
On The Principles Of Political Economy And Taxation,David Ricardo
Soldiers,Rolf Hochhuth
Bang E Dara,Allama Muhammad Iqbal
Plays By Jacinto Benavente,Jacinto Benavente
L'arrabbiata,Paul Heyse
A Gentleman In The Street,Sherry Thomas
Wandering On The Way,Zhuangzi
My Son's Father,Dom Moraes
Handbook Of The Birds Of India And Pakistan,Salim Ali
Tous Les Hommes Sont Mortels,Simone de Beauvoir
A Man's Estate,Emyr Humphreys
The Problem Of Atheism,Augusto Del Noce
Mga Ibong Mandaragit,Amado V. Hernandez
The Triumphs Of Eugene Valmont,Robert Barr
Tracks In The Snow,Godfrey Rathbone Benson
Sun & Steel,Yukio Mishima
Science Of Logic,G. W. F. Hegel
R. S. V. P. Murder,E. B. Eberhart
The Book Of Dede Korkut,Unknown
Roman Wall,Bryher
Spider King,Lawrence Schoonover
Lord Grizzly,Frederick Manfred
The Ballad of Peckham Rye,Muriel Spark
Beelzebub's Tales to His Grandson,George Ivanovitch Gurdjieff
The Royal Road to Romance,Richard Halliburton
Mountaineering in the Sierra Nevada,Clarence King
The Principal Navigations,Richard Hakluyt
Incidents of Travel in Yucatan,James Stephens
Shipwreck of the Whaleship Essex,Owen Chase
Life in the Far West,George Frederick Ruxton
My Life As an Explorer (Amundsen),Roald Amundsen
Mutiny on the Bounty,William Bligh
Pebble In The Sky,Isaac Asimov
"The Stars, Like Dust",Isaac Asimov
The Ship Who Sang,Anne McCaffrey
The Real Charlotte,Edith Somerville
Badjelly The Witch,Spike Milligan
I Am Fifteen--and I Don't Want To Die,Arnothy Christine
The Seven Who Were Hanged,Leonid Andreyev
The Book Of Mormon,Unknown
Hunter's Green,Phyllis A. Whitney
The Reluctant Widow,Georgette Heyer
Diary Of A Seducer,Soren Kierkegaard
Trilby,Charles Lomon
Inherit The Wind,Jerome Lawrence
The Skin Of Our Teeth,Thornton Wilder
Summerfolk,Maxim Gorky
Waste,Harley Granville Barker
Professor Bernhardi,Arthur Schnitzler
The Daughter In Law,D. H. Lawrence
Exiles,James Joyce
The Verge,Susan Glaspell
Tales From The Vienna Woods,Ödön von Horváth
Life With Father,Howard Lindsay
Present Laughter,Noel Coward
Moonraker,Ian Fleming
The Girl From The Earth,Kirill Bulytsev
Orphans Of The Sky,Robert A. Heinlein
The Flying Classroom,Erich Kästner
Croatian Tales of Long Ago,Ivana Brlic-Mazuranic
Sounder,William H. Armstrong
The Witch Of Blackbird Pond,Elizabeth George Speare
On The Banks Of Plum Creek,Laura Ingalls Wilder
Surprised By Joy,C. S. Lewis
Blood Wedding,Federico García Lorca
Another Self,James Lees-Milne
Hope Against Hope,Nadezhda Mandelstam
The Most Of S. J. Perelman,S. J. Perelman
Fame And Obscurity,Gay Talese
Fanshen,William Hinton
Profiles Of The Future,Arthur C. Clarke
"Values, Objectivity, And The Social Sciences",Gresham Riley
Lotus Creek,Sun Li
Legend Of The Swordsmen Of The Mountains Of Shu,Huanzhulouzhu
The Death Of Yuli,Xu Zhenya
Moment In Peking,Lin Yutang
倪煥之,Ye Shengtao
Spring Peach,Xu Dishan
Threshold Of Spring,Rou Shi
Curlew's Prayers,Taha Hussein
Al Saghamat,Yusuf al-Sibai
Some Tame Gazelle,Barbara Pym
Horton Hatches The Egg,Dr. Seuss
Rolf In The Woods,Ernest Thompson Seton
Zama,Antonio di Benedetto
Michel Strogoff,Jules Verne
The Great Divorce,C. S. Lewis
"Faust, Part Two",Johann Wolfgang von Goethe
De L'inconvénient D'être Né,Emil Cioran
The Doll,Bolesław Prus
Guignol's Band I et II,Louis-Ferdinand Céline
The Devil,Leo Tolstoy
Balladyna,Juliusz Słowacki
Droga donikąd,Józef Mackiewicz
The Canterville Ghost,Oscar Wilde
Mother Night,Kurt Vonnegut
City Of The Dead,Herbert Lieberman
Marilyn The Wild,Jerome Charyn
How To Read A Book,Mortimer J. Adler
They Were Found Wanting,Miklos Banffy
They Were Divided,Miklos Banffy
The Red Carnation,Elio Vittorini
House On The Hill,Cesare Pavese
Theory Of Political Economy,W. Stanley Jevons
The State In Capitalist Society,Ralph Miliband
Poems And Songs,Bjørnstjerne Bjørnson
Complete Poems,George Seferis
De Witte,Ernest Claes
Stihuri Pestriţe,Tudor Arghezi
Pelleas And Melisande,Maurice Maeterlinck
Plays,Gerhart Hauptmann
The Dam Busters,P Brickhill
Les Rois Maudits; Tome 2,Maurice Druon
Asana Pranayama Mudra Bandha,Satyananda Saraswati
O Sztuce Miłości,Erich Fromm
Le Journal D'une Femme De Chambre,Octave Mirbeau
Lettres Portugaises,Gabriel de Guilleragues
La Femme Rompue / L'âge De Discrétion / Monologue,Simone de Beauvoir
Fear And Trembling And The Sickness Unto Death,Soren Kierkegaard
Freedom At Midnight,Dominique Lapierre
El Quadern Gris,Josep Pla
The Telltale Heart,Edgar Allan Poe
Selected Writings,Karl Marx
The Red Thumb Mark,R Austin Freeman
"Arsene Lupin, Gentleman   Cambrioleur",Maurice Leblanc
Junket Is Nice,Dorothy Kunhardt
"Concluding Unscientific Postscript To Philosophical Fragments, Volume 1",Soren Kierkegaard
The Wisdom Of Life And Counsels And Maxims,Arthur Schopenhauer
Schopenhauer As Educator,Friedrich Nietzsche
Storia Dei Greci,Indro Montanelli
L'italia Del Risorgimento,Indro Montanelli
Fox In Socks,Dr. Seuss
Piers The Ploughman,William Langland
Digenes Akritas,Unknown
Khosrow And Shirin,Nezami Ganjavi
Kādambarī,Bānabhaṭṭa
The Autobiography Of Malcolm X,Malcolm X
Post Captain,Patrick O'Brian
An Apprenticeship Or The Book Of Pleasures,Clarice Lispector
The Prophet,Shalom Asch
Flame Of Fire,Jane Oliver
The Great Train Robbery,Michael Crichton
The Time Traders,Andre Norton
Seaview,Toby Olson
Sent for You Yesterday,John Edgar Wideman
The Barracks Thief,Tobias Wolff
Soldiers in Hiding,Richard Wiley
Dusk,James Salter
Postcards,Annie Proulx
The Bear Comes Home,Rafi Zabor
The Caprices,Sabina Murray
The Great Man,Kate Christensen
Killshot,Elmore Leonard
The Plantagenet Saga,Jean Plaidy
George Mills,Stanley Elkin
Mrs. Ted Bliss,Stanley Elkin
Something to Answer For,P. H. Newby
The Elected Member,Bernice Rubens
Holiday,Stanley Middleton
Teacher in America,Jacques Barzun
Understanding Poetry,Robert Penn Warren
The Whig Interpretation of History,Herbert Butterfield
A History of Philosophy,Frederick Charles Copleston
Religion and the Rise of Western Culture,Christopher Dawson
"Protestant, Catholic, Jew",Will Herberg
The Great Chain of Being,Arthur Lovejoy
The Triumph of the Therapeutic,Philip Rieff
Persons and Places,George Santayana
The New Science of Politics,Eric Voegelin
A Child Called 'It',Dave Pelzer
Schott's Original Miscellany,Ben Schott
Facts of Life,Maureen Howard
Munich,Telford Taylor
Walter Lippmann and the American Century,Ronald Steel
Weapons and Hope,Freeman Dyson
The Broken Cord,Michael Dorris
The Content of Our Character,Shelby Steele
The Land Where the Blues Began,Alan Lomax
The Rape of Europa,Lynn Nicholas
A Civil Action,Jonathan Harr
"Time, Love, Memory",Jonathan Weiner
Newjack,Ted Conover
Double Fold,Nicholson Baker
Sons of Mississippi,Paul Hendrickson
The Reformation,Diarmaid MacCulloch
Rough Crossings,Simon Schama
Medical Apartheid,Harriet A. Washington
Ralph Waldo Emerson,Ralph L. Rusk
Herman Melville,Newton Arvin
The Course of Empire,Bernard A. DeVoto
The Measure of Man,Joseph Wood Krutch
American in Italy,Herbert Kubly
The Lion and the Throne,Catherine Drinker Bowen
Mistress to an Age,J. Christopher Herold
Andrew Jackson and the Course of American Democracy,Robert V. Remini
Becoming a Man,Paul Monette
The Worst Hard Time,Timothy Egan
Legacy of Ashes,Tim Weiner
The Race Beat,Gene Roberts
An Army at Dawn,Rick Atkinson
Freedom From Fear,David M. Kennedy
Summer for the Gods,Edward Larson
Original Meanings,Jack N. Rakove
The Radicalism of the American Revolution,Gordon S. Wood
The Fate of Liberty,"Mark E. Neely, Jr"
In Our Image,Stanley Karnow
"The Launching of Modern American Science, 1846-1876",Robert V. Bruce
Structural Anthropology,Claude Lévi-Strauss
Essays in Sociology,Max Weber
The Nature of Life,C. H. Waddington
Physics and Philosophy,Werner Heisenberg
Discussion with Einstein on Epistemology,Niels Bohr
The Continental Op,Dashiell Hammett
Let's Talk About Love,Carl Wilson
Blue Like Jazz,Donald Miller
Killing Yourself to Live,Chuck Klosterman
"Men are from Mars, Women are from Venus",John Gray
Art and Culture,Clement Greenberg
Reflections from Captivity,Ho Chi Minn
Encyclicals of Pope John XXIII,Pope John XXIII
The Raw and the Cooked,Claude Lévi-Strauss
Motivation and Personality,Abraham Maslow
The Power Elite,C. Wright Mills
Intelligent Life in the Universe,Carl Sagan
Masterworks of the Classical Haida Mythtellers,Robert Bringhurst
Thursbitch,Alan Garner
The Ghost,Robert Harris
Wolf Brother,Michelle Paver
Fleshmarket Close,Ian Rankin
Moondust,Andrew Smith
Staying Alive,Neil Astley
Peeling the Onion,Günter Grass
The PowerBook,Jeanette Winterson
War Music,Christopher Logue
England in Particular,Sue Clifford
Collected Poems of Michael Donaghy,Michael Donaghy
Born Yesterday,Gordon Burn
Fatal Purity,Ruth Scurr
District and Circle,Seamus Heaney
The Carhullan Army,Sarah Hall
The Lost Leader,Mick Imlah
The Position,Meg Wolitzer
With Americans of Past and Present Days,Jean Jules Jusserand
A History of the Civil War,James Ford Rhodes
The War with Mexico,Justin H. Smith
The Victory at Sea,William Sowden Sims
The Founding of New England,James Truslow Adams
The Supreme Court in United States History,Charles Warren
The American Revolution,Charles Howard McIlwain
History of the American Frontier,Frederic L. Paxson
English Passengers,Matthew Kneale
Twelve Bar Blues,Patrick Neate
Restless,William Boyd
The Destiny Waltz,Gerda Charles
The Bird of Night,Susan Hill
The Chip Chip Gatherers,Shiva Naipaul
The Sacred and Profane Love Machine,Iris Murdoch
Docherty,William McIlvanney
The Children of Dynmouth,William Trevor
Picture Palace,Paul Theroux
The Old Jest,Jennifer Johnston
Silver City,Maurice Leitch
Young Shoulders,John Wain
Kruger's Alp,Christopher Hope
Elegies,Douglas Dunn
Under the Eye of the Clock,Christopher Nolan
The Comforts of Madness,Paul Sayer
The Chymical Wedding,Lindsay Clarke
Hopeful Monsters,Nicholas Mosley
The Queen of the Tambourine,Jane Gardam
Poor Things,Alasdair Gray
Swing Hammer Swing!,Jeff Torrington
Theory of War,Joan Brady
The Spirit Level,Seamus Heaney
Leading the Cheers,Justin Cartwright
Samuel Pepys,Claire Tomalin
The Tenderness of Wolves,Stef Penney
A History of the United States,Edward Channing
Pinckney's Treaty,Samuel Flagg Bemis
The Organization and Administration of the Union Army,Fred Albert Shannon
The War of Independence,Claude H. Van Tyne
"The Coming of the War, 1914",Bernadotte E. Schmitt
My Experiences in the World War,John J. Pershing
The Significance of Sections in American History,Frederick J. Turner
The People's Choice,Herbert Agar
The Colonial Period of American History,Charles McLean Andrews
A Constitutional History of the United States,Andrew C. McLaughlin
The Road to Reunion,Paul Herman Buck
A History of American Magazines,Frank Luther Mott
The Atlantic Migration,Marcus Lee Hansen
Paul Revere and the World He Lived In,Esther Forbes
The Growth of American Thought,Merle Curti
Unfinished Business,Stephen Bonsal
Scientists Against Time,James Phinney Baxter III
Across the Wide Missouri,Bernard A. DeVoto
The Disruption of American Democracy,Roy Franklin Nichols
Art and Life in America,Oliver W. Larkin
"The Old Northwest, Pioneer Period 1815-1840",R. Carlyle Buley
The Uprooted,Oscar Handlin
The Era of Good Feelings,George Dangerfield
Banks and Politics in America,Bray Hammond
The Republican Era,Leonard D. White
In the Days of McKinley,Margaret Leech
Between War and Peace,Herbert Feis
The Mountain of My Fear,David Roberts
Deborah,David Roberts
Everest,Thomas Hornbein
In Trouble Again,Redmond O'Hanlon
Gipsy Moth Circles the World,Francis Chichester
Stranger in the Forest,Eric Hansen
Running the Amazon,Joe Kane
Alive,Piers Paul Read
Adrift,Steven Callahan
Castaways,Alvar Núñez Cabeza de Vaca
Touching the Void,Joe Simpson
The Adventures of Captain Bonneville,Washington Irving
The Fearful Void,Geoffrey Moorhouse
Through the Brazilian Wilderness,Theodore Roosevelt
Minus 148,Art Davidson
Jaguars Ripped My Flesh,Tim Cahill
Journal of a Trapper,Osborne Russell
Full Tilt,Dervla Murphy
Terra Incognita,Sara Wheeler
Kabloona,Gontran de Poncins
Conquistadors of the Useless,Lionel Terray
Adventures in the Wilderness,William H. H. Murray
The Mountains of My Life,Walter Bonatti
Journal of the Voyage to the Pacific,Alexander Mackenzie
Alaska Wilderness,Robert Marshall
"Letters and Notes on the Manners, Customs, and Conditions of the North American Indians",George Catlin
I Married Adventure,Osa Johnson
The Descent of Pierre Saint-Martin,Norbert Casteret
The Crystal Horizon,Reinhold Messner
Narrative of a Journey Across the Rocky Mountains to the Columbia River,John Kirk Townsend
One Man's Mountains,Tom Patey
The Triumphant Empire,Lawrence H. Gipson
"Washington, Village and Capital, 1800-1878",Constance McLaughlin Green
Puritan Village,Sumner Chilton Powell
The Greenback Era,Irwin Unger
The Life of the Mind in America,Perry Miller
Exploration and Empire,William H. Goetzmann
Origins of the Fifth Amendment,Leonard W. Levy
Neither Black Nor White,Carl N. Degler
People of Paradox,Michael Kammen
The Americans,Daniel J. Boorstin
Lamy of Santa Fe,Paul Horgan
"The Impending Crisis, 1841-1867",David M. Potter
The Visible Hand,"Alfred D. Chandler, Jr"
The Dred Scott Case,Don E. Fehrenbacher
Been in the Storm So Long,Leon F. Litwack
American Education,Lawrence A. Cremin
"The Transformation of Virginia, 1740-1790",Rhys L. Isaac
Prophets of Regulation,Thomas K. McCraw
The Heavens and the Earth,Walter A. McDougall
Voyagers to the West,Bernard Bailyn
How to Be a Domestic Goddess,Nigella Lawson
London Orbital,Iain Sinclair
Landing Light,Don Paterson
Being Jordan,Katie Price
Earth,Richard Fortey
The Weather Makers,Tim Flannery
The Revenge of Gaia,James Lovelock
The Audacity of Hope,Barack Obama
Change We Can Believe In,Barack Obama
Eva Luna,Isabel Allende
Drop City,T. Coraghessan Boyle
Krik? Krak!,Edwidge Danticat
Comfort Me with Apples,Ruth Reichl
Kaaterskill Falls,Allegra Goodman
The Predators' Ball,Connie Bruck
America,John Stewart
Embers of War,Fredrik Logevall
Binocular Vision,Edith Pearlman
Liberty's Exiles,Maya Jasanoff
Outside Over There,Maurice Sendak
The Ice Storm,Rick Moody
The Epicure's Lament,Kate Christensen
The Ticket That Exploded,William S. Burroughs
Take It Or Leave It,Raymond Federman
Savages,Don Winslow
The Rifles,William T. Vollmann
The Stain,Rikki Ducornet
The Jade Cabinet,Rikki Ducornet
The Fountains of Neptune,Rikki Ducornet
Entering Fire,Rikki Ducornet
Count Zero,William Gibson
Mona Lisa Overdrive,William Gibson
Lookout cartridge,Joseph McElroy
Genoa,Paul C. Metcalf
Always Coming Home,Ursula K. Le Guin
Go in Beauty,William Eastlake
The Bronc People,William Eastlake
Portrait of an Artist with 26 Horses,William Eastlake
The Franchiser,Stanley Elkin
The Age of Wire and String,Ben Marcus
Tlooth,Harry Mathews
The Hand That First Held Mine,Maggie O'Farrell
Pure,Andrew Miller
The Citadel of the Autarch,Gene Wolfe
Legs,William Kennedy
Billy Phelan's Greatest Game,William Kennedy
Up,Ronald Sukenick
You Bright and Risen Angels,William T. Vollmann
Creamy and Delicious,Steve Katz
Mulligan Stew,Gilbert Sorrentino
Easy Travel to Other Planets,Ted Mooney
Tours of the Black Clock,Steve Erickson
In Memoriam to Identity,Kathy Acker
Hogg,Samuel R. Delany
Recollected Essays,Wendell Berry
Little Wilson and Big God,Anthony Burgess
The Water Is Wide,Pat Conroy
Snobbery,Joseph Epstein
Ever Since Darwin,Stephen Jay Gould
The Edward Hoagland Reader,Edward Hoagland
Farewell to Manzanar,Jeanne Wakatsuki Houston
Reliable Essays,Clive James
Enthusiasms,Bernard Levin
Coming into the Country,John McPhee
Whoredom in Kimmage,Rosemary Mahoney
The Names,N. Scott Momaday
Parliament of Whores,P. J. O'Rourke
Taking the World in for Repairs,Richard Selzer
Self-Consciousness,John Updike
Airships,Barry Hannah
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
A Patchwork Planet,Anne Tyler
Tisha,Robert Specht
Christy,Catherine Marshall
The Complete Poetry of César Vallejo,César Vallejo
The Soul of Kindness,Elizabeth Taylor
The Flight from the Enchanter,Iris Murdoch
The Indian Lawyer,James Welch
The Almanac of the Dead,Leslie Marmon Silko
A Feast of Snakes,Harry Crews
An American Dream,Norman Mailer
Ray,Barry Hannah
Mr. American,George MacDonald Fraser
The Dogs of March,Ernest Hebert
Sleeping Beauty,Ross Macdonald
Theophrastus,William Wall Fortenbaugh
Short Friday,Isaac Bashevis Singer
The Seance and Other Stories,Isaac Bashevis Singer
The Complete Works of Nathanael West,Nathanael West
The Wonderful Story of Henry Sugar,Roald Dahl
The Magic Toyshop,Angela Carter
Native American Folktales,Thomas A. Green
Collected Poems 1912-1944,Hilda Doolittle
The Complete Stories,Zora Neale Hurston
Napoleon,Vincent Cronin
The Name Above the Title,Frank Capra
Forever,Pete Hamill
Entropy,Jeremy Rifkin
How Democracies Perish,Jean François Revel
Shadows on the Hudson,Isaac Bashevis Singer
An Inconvenient Truth,Al Gore
The Worst Witch,Jill Murphy
John Wesley's Sermons,Albert C. Outler
The Wine of Astonishment,Earl Lovelace
War Dances,Sherman Alexie
The Collected Stories of Deborah Eisenberg,Deborah Eisenberg
Everything Begins and Ends at the Kentucky Club,Benjamin Alire Sáenz
Delicious Foods,James Hannaham
A Testament of Hope,Martin Luther King
Stamped from the Beginning,Ibram X. Kendi
Die andere Bildung. Was man von den Naturwissenschaften wissen sollte,Ernst Peter Fischer
The Statement,Brian Moore
German History 1800–1918,Thomas Nipperdey
Crusade and Jihad,Bassam Tibi
The Book of Strange New Things,Michel Faber
"Invisible Man, Got the Whole World Watching",Mychal Denzel Smith
I Loved You More,Tom Spanbauer
The Invented Part,Rodrigo Fresán
War Is a Force that Gives Us Meaning,Chris Hedges
The Leavers,Lisa Ko
The Destroyers,Christopher Bollen
Red at the Bone,Jacqueline Woodson
Eileen,Ottessa Moshfegh
The Incendiaries,R. O. Kwon
Bowlaway,Elizabeth McCracken
An Untamed State,Roxane Gay
Levels of Life,Julian Barnes
Human Chain,Seamus Heaney
Women & Power,Mary Beard
This House of Grief,Helen Garner
The Silence of the Girls,Pat Barker
Notes on a Scandal,Zoë Heller
Broken Glass,Alain Mabanckou
Encounters at the Heart of the World,Elizabeth A. Fenn
Custer's Trials,T. J. Stiles
Blood in the Water,Heather Ann Thompson
The Gulf,Jack E. Davis
Sweet Taste of Liberty,W. Caleb McDaniel
Lila,Marilynne Robinson
Everything Inside,Edwidge Danticat
The Problem of Slavery in the Age of Emancipation,David Brion Davis
The Evangelicals,Frances FitzGerald
Directorate S,Steve Coll
Island on Fire,Tom Zoellner
Titan,John Varley
The Integral Trees,Larry Niven
The Rise of Endymion,Dan Simmons
The Telling,Ursula K. Le Guin
Passage,Connie Willis
Ilium,Dan Simmons
Accelerando,Charles Stross
Boneshaker,Cherie Priest
Embassytown,China Mieville
The City in the Middle of the Night,Charlie Jane Anders
An American Childhood,Annie Dillard
Metaphor and Memory,Cynthia Ozick
Dominion,Calvin Baker
Suzy Zeus Gets Organized,Maggie Robbins
Kalimantaan,C. S. Godshalk
Dark Back Of Time,Javier Marias
Meteor In The Madhouse,Leon Forrest
Born Twice,Giuseppe Pontiggia
Winner Of The National Book Award,Jincy Willett
Achilles,Elizabeth Cook
Oh Pure And Radiant Heart,Lydia Millet
Varieties Of Exile,Mavis Gallant
Grief,Andrew Holleran
The Munch Mancini Mystery Series,Barbara Seranella
Transmission,Hari Kunzru
A Relative Stranger,Charles Baxter
The Extra Man,Jonathan Ames
Seminary Boy,John Cornwell
Samedi The Deafness,Jesse Ball
Rails Under My Back,Jeffery Renard Allen
What Salmon Know,Elwood Reid
The Darling,Russell Banks
The Fall Of A Sparrow,Robert Hellenga
The Tender Land,Kathleen Finneran
Journey To The Land Of Flies And Other Travels,Aldo Buzzi
Memories Of My Father Watching Tv,Curtis White
On The Way To My Father’s Funeral,Jonathan Baumbach
Rampart Street,David Fulmer
The Wife,Meg Wolitzer
Drama City,George P. Pelecanos
Banishing Verona,Margot Livesey
The Amalgamation Polka,Stephen Wright
Master Of The Crossroads,Madison Smartt Bell
Shipwrecks,Akira Yoshimura
Mailman,J. Robert Lennon
The Confession; Liberation Movements,Olen Steinhauer
Prairie Gothic,J. M. Hayes
San Remo Drive,Leslie Epstein
The Teahouse Fire,Ellis Avery
We Pierce,Andrew Huebner
Nice Big American Baby,Judy Budnitz
The Last Novel,David Markson
The Song of Rhiannon,Evangeline Walton
Unfinished Tales,Christopher John Reuel Tolkien
The Firelings,Carol Kendall
When Voiha Wakes,Joy Chant
Cards of Grief,Jane Yolen
The Folk of the Air,Peter S. Beagle
Unicorn Mountain,Michael Bishop
A Woman of the Iron People,Eleanor Arnason
Briar Rose,Jane Yolen
The Porcelain Dove,Delia Sherman
Something Rich and Strange,Patricia A. McKillip
The Djinn in the Nightingale's Eye,A. S. Byatt
Tamsin,Peter S. Beagle
The Innamorati,Midori Snyder
The Curse of Chalion,Lois McMaster Bujold
Solstice Wood,Patricia A. McKillip
In the Night Garden,Catherynne M. Valente
In the Cities of Coin and Spice,Catherynne M. Valente
Flesh and Spirit,Carol Berg
Lifelode,Jo Walton
The Uncertain Places,Lisa Goldstein
"Digger, Vols.1-6",Ursula Vernon
Tales from Rugosa Coven,Sarah Avery
Kingfisher,Patricia A. McKillip
Snow White Learns Witchcraft,Theodora Goss
Or What You Will,Jo Walton
Knight's Wyrd,Debra Doyle
The Kingdom of Kevin Malone,Suzy McKee Charnas
Owl in Love,Patrice Kindl
The Crown of Dalemark,Diana Wynne Jones
Passager,Jane Yolen
Hobby,Jane Yolen
Merlin,Jane Yolen
Dark Lord of Derkholm,Diana Wynne Jones
The Folk Keeper,Franny Billingsley
Aria of the Sea,Dia Calhoun
The Ropemaker,Peter Dickinson
Summerland,Michael Chabon
The Hollow Kingdom,Clare B. Dunkle
The Golem's Eye,Jonathan Stroud
Ptolemy's Gate,Jonathan Stroud
Corbenic,Catherine Fisher
The Thief,Megan Whalen Turner
The Queen of Attolia,Megan Whalen Turner
The King of Attolia,Megan Whalen Turner
A Conspiracy of Kings,Megan Whalen Turner
Vessel,Sarah Beth Durst
Doll Bones,Holly Black
A Snicker of Magic,Natalie Lloyd
Castle Hangnail,Ursula Vernon
The Inquisitor's Tale,Adam Gidwitz
Bob,Rebecca Stead
Dragon Pearl,Yoon Ha Lee
Pahua and the Soul Stealer,Lori Lee
Root Magic,Eden Royce
The Child Garden,Geoff Ryman
Synners,Pat Cadigan
Fairyland,Paul J. McAuley
The Calcutta Chromosome,Amitav Ghosh
The Sparrow,Enid Blyton
Dreaming In Smoke,Tricia Sullivan
Distraction,Bruce Sterling
Iron Council,China Mieville
Nova Swing,M. John Harrison
Black Man,Richard Morgan
The Testament Of Jessie Lamb,Jane Rogers
Dark Eden,Chris Beckett
Dreams Before The Start Of Time,Anne Charnock
Deep Wheel Orcadia,Harry Josephine Giles
Bug Week & Other Stories,Airini Beautrais
Auē,Becky Manawatu
This Mortal Boy,Fiona Kidman
The New Animals,Pip Adam
The Wish Child,Catherine Chidgey
Coming Rain,Stephen Daisley
Rangatira,Paula Morris
The Hut Builder,Laurence Fearnley
As The Earth Turns Silver,Alison Wong
Blindsight,Maurice Gee
Slow Water,Annamarie Jagose
The Shag Incident,Stephanie Johnson
Stonedogs,Craig Marriner
Harlequin Rex,Owen Marshall
Live Bodies,Maurice Gee
What Becomes Of The Broken Hearted?,Alan Duff
Zoology,Sheridan Keith​
Monstress Vol. 1,Marjorie Liu
Hip Hop Family Tree,Ed Piskor
Hawkeye,Matt Fraction
My Favorite Thing Is Monsters Vol. 1,Emil Ferris
Black Panther By Ta Nehisi Coates Vol. 1,Ta-Nehisi Coates
A Bride's Story,Kaoru Mori
The Devil All The Time,Donald Ray Pollock
Horrorstör,Grady Hendrix
Alice,Christina Henry
Lovecraft Country,Matt Ruff
The Lamb Will Slaughter The Lion,Margaret Killjoy
The Luminous Dead,Caitlin Starling
The War That Saved My Life,Kimberly Brubaker Bradley
Smile,Raina Telgemeier
Lumberjanes,Noelle Stevenson
Dactyl Hill Squad,Daniel José Older
Front Desk,Kelly Yang
Wolf Hollow,Lauren Wolk
Journey,Aaron Becker
The Book With No Pictures,B. J. Novak
Worm Loves Worm,J.J Austrian
Maybe Something Beautiful,F. Isabel Campoy
The Day You Begin,Jacqueline Woodson
When Aidan Became A Brother,Kyle Lukoff
Dreamers,Yuyi Morales
Drum Dream Girl,Margarita Engle
The Suffragette Scandal,Courtney Milan
A Girl Like Her,Talia Hibbert
Savor The Moment,Nora Roberts
The Lady's Guide To Celestial Mechanics,Olivia Waite
Hate To Want You,Alisha Rai
The Quantum Thief,Hannu Rajaniemi
Vn,Madeline Ashby
The Stars Are Legion,Kameron Hurley
The Book Of Joy,Bstan-ʼdzin-rgya-mtsho
Women & Money,Suze Orman
10% Happier,Dan Harris
The Nature Fix,Florence Williams
Make Your Bed,William H. McRaven
Love Wins,Debbie Cenziper
No One Is Too Small To Make A Difference,Greta Thunberg
"In A Dark, Dark Wood",Ruth Ware
The Widow,Fiona Barton
